comuna;desc_comuna;presupuesto
1;COMUNA 1;184640105044
2;COMUNA 2;12509495192
3;COMUNA 3;20735691868
4;COMUNA 4;87689956228
5;COMUNA 5;9232469384
6;COMUNA 6;14673509812
7;COMUNA 7;18682202864
8;COMUNA 8;24768214668
9;COMUNA 9;17433461260
10;COMUNA 10;9529645100
11;COMUNA 11;10500332392
12;COMUNA 12;13980645680
13;COMUNA 13;12521814016
14;COMUNA 14;18777135104
15;COMUNA 15;13641482468
