comuna;desc_comuna;presupuesto
1.0;COMUNA 1;305734606128.0
2.0;COMUNA 2;23222299300.0
3.0;COMUNA 3;59102199844.0
4.0;COMUNA 4;181220650024.0
5.0;COMUNA 5;20721787576.0
6.0;COMUNA 6;28010252484.0
7.0;COMUNA 7;33452123980.0
8.0;COMUNA 8;51030835696.0
9.0;COMUNA 9;32680259608.0
10.0;COMUNA 10;21022292720.0
11.0;COMUNA 11;21689489800.0
12.0;COMUNA 12;25586868552.0
13.0;COMUNA 13;26282003564.0
14.0;COMUNA 14;37391725036.0
15.0;COMUNA 15;31096744116.0
