comuna;desc_comuna;presupuesto
1.0;COMUNA 1;1056877410612.0
2.0;COMUNA 2;43803554348.0
3.0;COMUNA 3;158900392028.0
4.0;COMUNA 4;642164043576.0
5.0;COMUNA 5;39416201668.0
6.0;COMUNA 6;57523639808.0
7.0;COMUNA 7;76681571040.0
8.0;COMUNA 8;135813382128.0
9.0;COMUNA 9;80767838280.0
10.0;COMUNA 10;47678553564.0
11.0;COMUNA 11;46792276116.0
12.0;COMUNA 12;57015535520.0
13.0;COMUNA 13;54385749476.0
14.0;COMUNA 14;93023476140.0
15.0;COMUNA 15;51876903972.0
