comuna;desc_comuna;presupuesto
1;COMUNA 1;58542385224.0
2;COMUNA 2;4550368756.0
3;COMUNA 3;7912589524.0
4;COMUNA 4;27470916500.0
5;COMUNA 5;4658478020.0
6;COMUNA 6;4902102768.0
7;COMUNA 7;7282639532.0
8;COMUNA 8;5738476428.0
9;COMUNA 9;5598239460.0
10;COMUNA 10;3743464708.0
11;COMUNA 11;4124678812.0
12;COMUNA 12;4897165872.0
13;COMUNA 13;4257153280.0
14;COMUNA 14;7499207692.0
15;COMUNA 15;4718860456.0
