comuna;desc_comuna;presupuesto
1;COMUNA 1;700326665548.0
2;COMUNA 2;31791019812.0
3;COMUNA 3;112516934104.0
4;COMUNA 4;508555326044.0
5;COMUNA 5;31330383508.0
6;COMUNA 6;46944873544.0
7;COMUNA 7;61663073520.0
8;COMUNA 8;79185042288.0
9;COMUNA 9;69994003596.0
10;COMUNA 10;30275720584.0
11;COMUNA 11;37607505880.0
12;COMUNA 12;41181411340.0
13;COMUNA 13;40783315784.0
14;COMUNA 14;66071553820.0
15;COMUNA 15;42974865820.0
