comuna;desc_comuna;presupuesto
1;COMUNA 1;34149507184.0
2;COMUNA 2;2794259360.0
3;COMUNA 3;5588101144.0
4;COMUNA 4;20577540984.0
5;COMUNA 5;3904952976.0
6;COMUNA 6;3959264672.0
7;COMUNA 7;5508337864.0
8;COMUNA 8;4004081564.0
9;COMUNA 9;4979276292.0
10;COMUNA 10;2717457856.0
11;COMUNA 11;3070006564.0
12;COMUNA 12;3561738504.0
13;COMUNA 13;3004448812.0
14;COMUNA 14;6568174096.0
15;COMUNA 15;3596119292.0
