comuna;desc_comuna;presupuesto
1;COMUNA 1;476756658288.0
2;COMUNA 2;19588792852.0
3;COMUNA 3;72568887712.0
4;COMUNA 4;351231931612.0
5;COMUNA 5;18401999864.0
6;COMUNA 6;31695571332.0
7;COMUNA 7;49539427972.0
8;COMUNA 8;47834945128.0
9;COMUNA 9;43346826016.0
10;COMUNA 10;23398568632.0
11;COMUNA 11;24527196192.0
12;COMUNA 12;31490341708.0
13;COMUNA 13;28877621160.0
14;COMUNA 14;43161463128.0
15;COMUNA 15;31947785704.0
