comuna;desc_comuna;presupuesto
1;COMUNA 1;77077995060.0
2;COMUNA 2;7967680484.0
3;COMUNA 3;9483166156.0
4;COMUNA 4;41972598720.0
5;COMUNA 5;4617475204.0
6;COMUNA 6;7475834664.0
7;COMUNA 7;9954905676.0
8;COMUNA 8;9385521656.0
9;COMUNA 9;9113491032.0
10;COMUNA 10;6250876556.0
11;COMUNA 11;4840338036.0
12;COMUNA 12;5558836864.0
13;COMUNA 13;4807567568.0
14;COMUNA 14;8212106012.0
15;COMUNA 15;6817097556.0
